ID,VALUE,LAT,LON,SIZE
NO000001026,4.111780821917808,69.6539,18.9281,5.167516450167053
NO000001212,8.308356164383563,62.8667,6.5331,10.441599154420377
NO000001465,9.36993583868011,58.3831,8.7917,11.775748679329086
NO000014030,9.07904967602592,59.3,4.883,11.410174954526218
NO000016740,3.6634246575342466,62.1,9.05,4.604040925733527
NO000050540,8.997716894977168,60.3831,5.3331,11.307959271781915
NO000080700,6.685342465753425,66.8167,13.9831,8.401862517240895
NO000093300,-8.620000000000001,69.583,23.533,10.83326026596522
NO000097250,-0.0806849315068493,69.4667,25.5031,0.10140149217578605
NO000098550,2.6443835616438354,70.367,31.1,3.323352130664472
NO000099710,-0.13080438756855578,74.5167,19.0167,0.16438955620189677
NOE00104443,6.64958904109589,68.1503,14.6506,8.356929088619706
NOE00105467,5.7584474885844745,67.2669,14.3589,7.236979161453526
NOE00105472,9.613561643835617,59.0267,10.53,12.081927537189289
NOE00105476,-2.9664383561643834,76.5,25.0667,3.72809730571587
NOE00105482,5.8471232876712325,60.5683,9.1217,7.348423246233026
NOE00105483,9.376438356164384,58.0667,8.0506,11.783920774954508
NOE00105492,8.857260273972603,59.3078,4.8781,11.13143918693035
NOE00105494,2.652328767123288,70.3669,31.0844,3.3333373370247363
NOE00105498,0.8838235294117646,69.4633,25.5019,1.110752937738006
NOE00109394,2.719041095890411,69.0589,18.5403,3.4171786387048857
NOE00109459,4.261643835616439,71.0931,23.995,5.355858101169278
NOE00109476,0.825068493150685,70.4003,28.2003,1.0369120328943284
NOE00109485,-1.3793150684931506,68.7553,23.5383,1.7334662558879284
NOE00109497,-0.8715068493150686,69.5881,23.5317,1.0952738424827693
NOE00109514,6.365114155251142,60.1881,11.0742,7.99941279192749
NOE00109543,7.103150684931507,59.6631,9.65,8.926946644806511
NOE00109604,7.308675799086758,63.7003,9.6014,9.185242126574034
NOE00109613,2.4510958904109588,62.5669,11.3833,3.080436162141494
NOE00109631,9.298767123287671,57.9831,7.0481,11.686306774846408
NOE00109640,9.14,58.11,6.5681,11.486774806371475
NOE00109653,9.408904109589042,58.6333,9.1503,11.824722394047312
NOE00109671,7.948356164383562,59.6483,6.3631,9.9891660110622
NOE00109680,8.763744292237442,58.8842,5.6367,11.01391216034517
NOE00109701,4.225616438356164,61.1592,11.4425,5.3105803550873905
NOE00109737,8.445604395604397,62.8594,6.5392,10.614087067397021
NOE00109746,8.496301369863014,62.2333,7.4167,10.677800932459729
NOE00109759,7.294109589041096,59.0269,8.5206,9.166935914913548
NOE00109768,8.151643835616438,61.0267,5.385,10.244649566900682
NOE00109777,3.035753424657534,71.0839,28.2178,3.815209623272657
NOE00109840,7.681506849315069,58.3831,10.7881,9.653800804341603
NOE00109885,7.5479452054794525,59.8558,10.4367,9.485946042250955
NOE00109966,2.044109589041096,61.8869,12.0481,2.5689525742734802
NOE00109984,6.346712328767124,60.7806,10.8117,7.976286135817224
NOE00110038,3.3416438356164386,60.9181,9.2903,4.199640068142828
NOE00110119,9.78659793814433,60.7,10.8667,12.299392410936903
NOE00110294,9.557755102040817,59.3867,9.2017,12.011792178511037
NOE00110447,8.724520547945206,58.2003,8.0681,10.9646173772218
NOE00110572,8.656712328767123,58.6592,5.5553,10.879398805698852
NOE00110653,8.206712328767123,60.2892,5.2264,10.313857376501133
NOE00110725,9.127671232876713,59.9081,5.0681,11.471280520640029
NOE00110959,8.71,62.675,8.5589,10.946368551804765
NOE00111093,5.501232876712329,64.2506,11.2003,6.913722452100837
NOE00111111,6.634310344827586,64.7978,10.5492,8.337727453677807
NOE00111273,2.2283561643835617,68.7781,19.71,2.8005060665933987
NOE00111318,5.634246575342465,70.2456,19.5006,7.080888579270086
NOE00111327,-0.9809589041095891,69.3667,24.4331,1.2328286680319254
NOE00111345,-0.5097260273972603,69.0167,23.0339,0.6406026356300508
