ID,VALUE,LAT,LON,SIZE
NO000001026,4.204102096627165,69.6539,18.9281,3.1296045384321327
NO000001465,10.295596868884541,58.3831,8.7917,7.664216031427698
NO000005350,7.638114754098361,60.3883,11.5603,5.685941504291584
NO000014030,9.595684210526315,59.3,4.883,7.143189238605198
NO000050540,9.608568824065634,60.3831,5.3331,7.152780762331738
NO000080700,6.740437158469946,66.8167,13.9831,5.017695155188545
NO000098550,3.536865839909808,70.367,31.1,2.632902610354696
NO000099710,-0.5791248860528714,74.5167,19.0167,0.43111033701206314
NOE00100574,7.057923497267759,60.6458,6.2233,5.254037342879226
NOE00104443,6.737295081967213,68.1503,14.6506,5.015356140422243
NOE00105467,6.519398907103826,67.2669,14.3589,4.853150551193915
NOE00105472,10.379781420765028,59.0267,10.53,7.726884432331287
NOE00105476,-3.5994535519125685,76.5,25.0667,2.6794939592401255
NOE00105483,9.940573770491802,58.0667,8.0506,7.399930846519953
NOE00105492,9.43743169398907,59.3078,4.8781,7.025383395029085
NOE00105494,3.260792349726776,70.3669,31.0844,2.427388845950454
NOE00105498,0.2179580674567001,69.4633,25.5019,0.1622516631191316
NOE00105503,6.161896080218779,60.5669,9.1333,4.587019414554923
NOE00105505,-0.3501683501683502,69.5794,23.5342,0.2606712284131639
NOE00109394,2.555191256830601,69.0589,18.5403,1.902127486474393
NOE00109459,4.225409836065574,71.0931,23.995,3.1454663792051423
NOE00109485,-0.37513661202185794,68.7553,23.5383,0.2792580238376114
NOE00109514,7.6497267759562835,60.1881,11.0742,5.694585689297481
NOE00109561,7.403142076502733,59.6244,9.6378,5.511023878289876
NOE00109604,8.01903460837887,63.7003,9.6014,5.96950467124978
NOE00109622,2.8643442622950817,62.5769,11.3517,2.132266200219664
NOE00109631,9.875273224043715,57.9831,7.0481,7.351320017898548
NOE00109640,9.761748633879781,58.11,6.5681,7.266810397429118
NOE00109653,9.879098360655737,58.6333,9.1503,7.354167514135785
NOE00109671,9.022540983606557,59.6483,6.3631,6.716531749583046
NOE00109680,9.603005464480875,58.8842,5.6367,7.148639303583778
NOE00109737,8.709680365296803,62.8594,6.5392,6.483633026275537
NOE00109746,8.976502732240437,62.2333,7.4167,6.682260098442014
NOE00109759,7.833378932968536,59.0269,8.5206,5.831299453822732
NOE00109768,8.756284153005465,61.0267,5.385,6.518325672212505
NOE00109777,3.2215846994535515,71.0839,28.2178,2.398202009518773
NOE00109822,8.609699453551913,59.3167,10.8167,6.409205548549812
NOE00109840,8.941120218579234,58.3831,10.7881,6.65592075824757
NOE00109849,9.415373765867418,59.2856,11.1144,7.008963101141999
NOE00109885,8.214071038251365,59.8558,10.4367,6.114693080584144
NOE00109903,6.471448087431694,60.0508,10.6864,4.817455151934265
NOE00109939,6.433606557377049,59.9844,10.6692,4.789285278444454
NOE00109966,2.2498520710059173,61.8869,12.0481,1.6748278444212785
NOE00109984,7.534016393442623,60.7806,10.8117,5.608448928121059
NOE00110119,7.178522571819426,60.7,10.8667,5.343813328897836
NOE00110182,8.175546448087431,60.3828,9.6067,6.086014725623398
NOE00110303,8.32158469945355,59.3831,9.2014,6.194728064109343
NOE00110447,9.084699453551913,58.2003,8.0681,6.762803563438149
NOE00110473,7.541939890710382,58.6156,7.4067,5.614347313183908
NOE00110554,9.683879781420766,59.0567,6.6492,7.208843509742506
NOE00110572,8.660245901639344,58.6592,5.5553,6.446833177399016
NOE00110590,9.618169398907105,58.9569,5.73,7.15992759223854
NOE00110644,4.084426229508197,60.4083,7.2794,3.0405158036041167
NOE00110653,8.714071038251365,60.2892,5.2264,6.486901517308709
NOE00110725,9.495901639344263,59.9081,5.0681,7.068909408941139
NOE00110860,8.41448087431694,62.1478,5.2139,6.263881544156531
NOE00110941,8.51120218579235,62.4789,6.82,6.335882520440955
NOE00110959,9.047267759562843,62.675,8.5589,6.734938778830901
NOE00111040,7.2371584699453555,63.4106,10.4533,5.387462880852622
NOE00111102,5.196994535519125,64.7419,12.8458,3.8687304234633686
NOE00111111,7.780327868852459,64.7978,10.5492,5.791807346540292
NOE00111318,5.301366120218579,70.2456,19.5006,3.9464263922222678
NOE00111327,-0.7994535519125682,69.3667,24.4331,0.595126713582557
NOE00111336,-0.17745901639344264,68.9967,23.0333,0.13210348614896475
NOE00111354,-1.413939393939394,70.7006,30.0681,1.0525603428829235
NOE00111363,-2.579098360655738,78.0667,13.6331,1.9199243379571254
NOE00111372,-4.909836065573771,77.8831,16.7167,3.654964813082212
NOE00112071,7.788706739526412,63.5,10.89,5.798044719250431
NOE00112089,5.604508196721311,64.16,12.47,4.172090469023309
NOE00133002,8.420491803278688,58.6581,8.6314,6.268356181100761
NOE00133014,9.29931693989071,58.34,8.5225,6.922568441605988
NOE00133110,3.5895027624309397,69.9775,23.3581,2.6720864236458612
NOE00133122,3.4396174863387983,70.6805,23.6769,2.560509295041289
NOE00133138,6.253564154786151,71.0106,25.9781,4.655258676019467
NOE00133150,3.2913105413105415,71.0331,27.8294,2.450107102712562
NOE00133162,3.111065573770492,70.8706,29.0344,2.315929707521458
NOE00133210,2.5493169398907103,70.0653,29.8353,1.8977545458243503
NOE00133302,7.53292349726776,60.8008,11.0978,5.607635357767563
NOE00133314,7.329371584699454,60.8181,11.0694,5.456107879428875
NOE00133590,7.392035398230088,62.4644,6.3958,5.502755879575748
NOE00133650,8.895338345864662,62.3292,5.2681,6.621839959700742
NOE00133666,8.301639344262295,62.7442,7.2617,6.179880405158037
NOE00133690,8.405054644808743,63.1092,7.8156,6.256864499857626
NOE00133726,7.831010928961748,62.1808,6.0806,5.829536671683684
NOE00133746,8.63781512605042,62.5617,6.115,6.4301353295660695
NOE00133774,7.727185792349727,65.4567,12.2181,5.752247488101534
NOE00133822,5.138609467455621,68.4908,16.6831,3.8252675936394205
